team_id,espn_id,school_name,team_symbol,team_name,search_name,link,logo_link
65,153,North Carolina,UNC,Tar Heels,north-carolina,http://espn.go.com/college-football/team/_/id/153/north-carolina-tar-heels,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/153.gif
66,152,North Carolina State,NCSU,Wolfpack,north-carolina-state,http://espn.go.com/college-football/team/_/id/152/north-carolina-state-wolfpack,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/152.gif
67,249,North Texas,NTEX,Mean Green,north-texas,http://espn.go.com/college-football/team/_/id/249/north-texas-mean-green,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/249.gif
68,2459,Northern Illinois,NILL,Huskies,northern-illinois,http://espn.go.com/college-football/team/_/id/2459/northern-illinois-huskies,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2459.gif
69,77,Northwestern,NW,Wildcats,northwestern,http://espn.go.com/college-football/team/_/id/77/northwestern-wildcats,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/77.gif
70,87,Notre Dame,ND,Fighting Irish,notre-dame,http://espn.go.com/college-football/team/_/id/87/notre-dame-fighting-irish,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/87.gif
71,195,Ohio,OHIO,Bobcats,ohio,http://espn.go.com/college-football/team/_/id/195/ohio-bobcats,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/195.gif
72,194,Ohio State,OSU,Buckeyes,ohio-state,http://espn.go.com/college-football/team/_/id/194/ohio-state-buckeyes,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/194.gif
73,201,Oklahoma,OU,Sooners,oklahoma,http://espn.go.com/college-football/team/_/id/201/oklahoma-sooners,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/201.gif
74,197,Oklahoma State,OSU,Cowboys,oklahoma-state,http://espn.go.com/college-football/team/_/id/197/oklahoma-state-cowboys,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/197.gif
75,145,Ole Miss,MISS,Rebels,mississippi,http://espn.go.com/college-football/team/_/id/145/ole-miss-rebels,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/145.gif
76,2483,Oregon,ORE,Ducks,oregon,http://espn.go.com/college-football/team/_/id/2483/oregon-ducks,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2483.gif
77,204,Oregon State,ORST,Beavers,oregon-state,http://espn.go.com/college-football/team/_/id/204/oregon-state-beavers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/204.gif
78,213,Penn State,PSU,Nittany Lions,penn-state,http://espn.go.com/college-football/team/_/id/213/penn-state-nittany-lions,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/213.gif
79,221,Pittsburgh,PITT,Panthers,pittsburgh,http://espn.go.com/college-football/team/_/id/221/pittsburgh-panthers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/221.gif
80,2509,Purdue,PUR,Boilermakers,purdue,http://espn.go.com/college-football/team/_/id/2509/purdue-boilermakers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2509.gif
81,242,Rice,RICE,Owls,rice,http://espn.go.com/college-football/team/_/id/242/rice-owls,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/242.gif
82,164,Rutgers,RUTG,Scarlet Knights,rutgers,http://espn.go.com/college-football/team/_/id/164/rutgers-scarlet-knights,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/164.gif
83,21,San Diego State,SDSU,Aztecs,san-diego-state,http://espn.go.com/college-football/team/_/id/21/san-diego-state-aztecs,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/21.gif
